Code,Name
CDi.020," MATHIEU, CHUI NGUDJOLO"
GBi.010, JÚLIO NHATE
CDi.021, FLORIBERT NGABU NJABU
CDi.022, LAURENT NKUNDA
TAi.044, HAMDULLAH NOMANI
TAi.138, MOHAMMAD ALEEM NOORANI
TAi.173, ABDUL BASIR NOORZAI
TAi.154, MALIK NOORZAI
CDi.023, FELICIEN NSANZUBUKIRE
CDi.024, PACIFIQUE NTAWUNGUKA
TAi.089, NURULLAH NURI
CDi.025, JAMES NYAKUNI
TAi.097, ABDUL MANAN NYAZI
CDi.034, LUCIEN NZAMBAMWITA
CDi.026, STANISLAS NZEYIMANA
TAi.166, AHMED SHAH NOORZAI OBAIDULLAH
SOi.009, HASSAN MAHAT OMAR
TAi.088, ABDUL JABBAR OMARI
TAi.042, MOHAMMAD IBRAHIM OMARI
QDi.314, ABDERRAHMANE OULD EL AMAR
