,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,,
727,12/1/2020,242.596,374.98,264.39,406.99,,
728,13/1/2020,241.916,356.3545455,264.62,394.964,,
729,14/1/2020,243.7688889,354.045,262.84,407.6466667,,
730,15/1/2020,245.4975,355.376,262.43,408.47,,
733,18/1/2020,244.745,340.95,261.95,407.995,,
734,19/1/2020,245.9933333,340.46,261.1,406.9933333,,
735,20/1/2020,247.796,337.95,257.945,407.6133333,,
743,28/1/2020,245.456,328,250.855,388.378,,
744,29/1/2020,243.95,327.95,250.934,388.9633333,,
745,30/1/2020,243.975,312,251.385,387.9933333,,
749,3/2/2020,245.488,331.45,249.95,387.855,,
753,7/2/2020,267.96,323.4866667,248.425,405.805,,
754,8/2/2020,248.9733333,324.49,251.93,387.16,,
759,13/2/2020,253.6428571,342.4355556,249.27,376,,
761,15/2/2020,247.1311111,327.735,249.055,376.8825,,
762,16/2/2020,248.2133333,324.95,247.76,377.86,,
764,18/2/2020,257.8733333,329.99,243.86,378.93,,
771,25/2/2020,233.9933333,325.58,238.86,380.025,,
773,27/2/2020,239.4875,320.27,248.17,377.86,,
774,28/2/2020,237,321.771,242.5533333,379.485,,
776,1/3/2020,235.495,317.22,232.0225,376.86,,
777,2/3/2020,234.475,314.99,233.4166667,376.76,,
778,3/3/2020,231.63,313.3566667,237.906,379.835,,
780,5/3/2020,232.74,310.97,226.43,368.86,,
797,22/3/2020,222.7333333,329.975,239.55,387.725,,
799,24/3/2020,223.2,331.285,244.4825,390.2366667,,
800,25/3/2020,223.29,325.3875,249.995,386.8975,,
801,26/3/2020,221.9166667,329.12,243.79,379.7125,,
802,27/3/2020,220.99,320.2975,249.47,374.26,,
803,28/3/2020,217.896,321.4133333,256.374,356.86,,
804,29/3/2020,213.535,321.97,254.7425,391.7483333,,
805,30/3/2020,211.08,324.6483333,264.8666667,356.86,,
807,1/4/2020,209.3575,332.97,263.7516667,355.93,,
808,2/4/2020,207.7066667,349.95,250.7833333,358.4066667,,
809,3/4/2020,201.6533333,335,252.6533333,370.905,,
810,4/4/2020,203.3185714,338.42,261.97,355.95,,
814,8/4/2020,189.5677778,425.9833333,263.722,355.93,,
821,15/4/2020,187.4357143,349.6633333,267.9033333,355.9533333,,
822,16/4/2020,182.125,372.98,257.2066667,356.86,,
825,19/4/2020,180.92,357.1257143,264.85,356.43,,
826,20/4/2020,178.9975,358.5,258.9985714,360.9,,
827,21/4/2020,179.311,366,252.118,356.76,,
829,23/4/2020,179.9185714,347.9875,251.0966667,356.3,,
830,24/4/2020,179.985,339.915,260.445,343.86,,
834,28/4/2020,178.8709091,333.225,264.4933333,337.9533333,,
835,29/4/2020,181.5857143,329.94,258.71,346.455,,
838,2/5/2020,179,332.9633333,256.955,341.925,,
840,4/5/2020,179.7433333,327.99,265.225,344.49,,
